series_id,trend_type,lot_id,wafer_id,equipment_id,process_step,sensor_name,target,sigma,anomaly_start,detail
normal_001,normal,LOT-2026-0001,W04,EQP-12,PHOTO,film_thickness_nm,98.634,0.969,12,none
normal_002,normal,LOT-2026-0002,W17,EQP-02,CMP,rf_power_w,98.985,1.171,13,none
normal_003,normal,LOT-2026-0003,W16,EQP-01,PVD,rf_power_w,98.705,0.967,17,none
normal_004,normal,LOT-2026-0004,W05,EQP-02,PVD,film_thickness_nm,98.932,0.871,13,none
normal_005,normal,LOT-2026-0005,W24,EQP-09,DIFFUSION,etch_rate_nm_min,101.121,1.204,17,none
normal_006,normal,LOT-2026-0006,W15,EQP-12,CVD,particle_count,100.039,1.214,16,none
normal_007,normal,LOT-2026-0007,W03,EQP-11,PVD,critical_dimension_nm,99.306,1.010,13,none
normal_008,normal,LOT-2026-0008,W08,EQP-09,CVD,film_thickness_nm,100.122,1.202,16,none
normal_009,normal,LOT-2026-0009,W06,EQP-05,PVD,chamber_pressure_mTorr,98.574,0.777,17,none
normal_010,normal,LOT-2026-0010,W25,EQP-06,DIFFUSION,chamber_pressure_mTorr,100.112,1.253,13,none
normal_011,normal,LOT-2026-0011,W07,EQP-02,CMP,etch_rate_nm_min,101.272,0.854,12,none
normal_012,normal,LOT-2026-0012,W09,EQP-05,ETCH,critical_dimension_nm,99.787,0.955,12,none
normal_013,normal,LOT-2026-0013,W12,EQP-06,ION_IMPLANT,rf_power_w,100.839,1.326,15,none
normal_014,normal,LOT-2026-0014,W14,EQP-05,CMP,temperature_c,99.071,0.904,14,none
normal_015,normal,LOT-2026-0015,W23,EQP-02,DIFFUSION,chamber_pressure_mTorr,99.537,1.111,17,none
normal_016,normal,LOT-2026-0016,W21,EQP-05,CVD,overlay_error_nm,99.770,0.987,14,none
normal_017,normal,LOT-2026-0017,W25,EQP-04,CMP,temperature_c,99.561,0.918,12,none
normal_018,normal,LOT-2026-0018,W13,EQP-03,ION_IMPLANT,particle_count,98.998,1.316,12,none
normal_019,normal,LOT-2026-0019,W23,EQP-11,PVD,temperature_c,101.412,0.921,12,none
normal_020,normal,LOT-2026-0020,W10,EQP-05,ETCH,rf_power_w,100.499,0.937,16,none
normal_021,normal,LOT-2026-0021,W20,EQP-02,DIFFUSION,etch_rate_nm_min,99.598,1.217,12,none
normal_022,normal,LOT-2026-0022,W10,EQP-06,CVD,chamber_pressure_mTorr,99.468,0.995,15,none
normal_023,normal,LOT-2026-0023,W24,EQP-02,METROLOGY,temperature_c,99.677,0.962,17,none
normal_024,normal,LOT-2026-0024,W04,EQP-09,PHOTO,chamber_pressure_mTorr,100.928,1.080,14,none
normal_025,normal,LOT-2026-0025,W18,EQP-12,CMP,rf_power_w,98.619,0.770,14,none
normal_026,normal,LOT-2026-0026,W05,EQP-08,ETCH,critical_dimension_nm,101.212,1.331,17,none
normal_027,normal,LOT-2026-0027,W21,EQP-12,DIFFUSION,particle_count,100.183,0.936,17,none
normal_028,normal,LOT-2026-0028,W17,EQP-07,DIFFUSION,film_thickness_nm,98.728,0.868,12,none
normal_029,normal,LOT-2026-0029,W19,EQP-08,CVD,film_thickness_nm,98.658,0.896,16,none
normal_030,normal,LOT-2026-0030,W25,EQP-09,DIFFUSION,film_thickness_nm,99.210,0.804,12,none
normal_031,normal,LOT-2026-0031,W18,EQP-03,DIFFUSION,etch_rate_nm_min,101.057,0.817,12,none
normal_032,normal,LOT-2026-0032,W20,EQP-11,PHOTO,critical_dimension_nm,100.017,0.875,14,none
normal_033,normal,LOT-2026-0033,W02,EQP-01,ION_IMPLANT,overlay_error_nm,98.969,0.846,12,none
normal_034,normal,LOT-2026-0034,W07,EQP-12,ETCH,film_thickness_nm,100.439,0.819,17,none
normal_035,normal,LOT-2026-0035,W18,EQP-12,ETCH,etch_rate_nm_min,99.017,1.231,16,none
normal_036,normal,LOT-2026-0036,W06,EQP-03,DIFFUSION,particle_count,100.025,1.164,16,none
normal_037,normal,LOT-2026-0037,W07,EQP-04,CMP,critical_dimension_nm,100.285,1.186,16,none
normal_038,normal,LOT-2026-0038,W22,EQP-08,PHOTO,temperature_c,100.738,1.039,17,none
normal_039,normal,LOT-2026-0039,W16,EQP-08,ION_IMPLANT,rf_power_w,100.969,1.110,17,none
normal_040,normal,LOT-2026-0040,W11,EQP-09,PVD,critical_dimension_nm,98.845,0.966,13,none
single_spike_ignore_001,single_spike_ignore,LOT-2026-0041,W08,EQP-01,CMP,rf_power_w,100.772,1.229,15,one isolated control-limit breach; recovery follows
single_spike_ignore_002,single_spike_ignore,LOT-2026-0042,W21,EQP-04,ION_IMPLANT,chamber_pressure_mTorr,100.759,0.983,17,one isolated control-limit breach; recovery follows
single_spike_ignore_003,single_spike_ignore,LOT-2026-0043,W19,EQP-01,DIFFUSION,rf_power_w,101.001,0.855,12,one isolated control-limit breach; recovery follows
single_spike_ignore_004,single_spike_ignore,LOT-2026-0044,W23,EQP-05,ETCH,overlay_error_nm,101.235,1.240,13,one isolated control-limit breach; recovery follows
single_spike_ignore_005,single_spike_ignore,LOT-2026-0045,W15,EQP-08,ION_IMPLANT,rf_power_w,101.329,0.752,15,one isolated control-limit breach; recovery follows
single_spike_ignore_006,single_spike_ignore,LOT-2026-0046,W22,EQP-09,PVD,overlay_error_nm,98.576,1.108,17,one isolated control-limit breach; recovery follows
single_spike_ignore_007,single_spike_ignore,LOT-2026-0047,W01,EQP-08,METROLOGY,chamber_pressure_mTorr,100.279,0.882,15,one isolated control-limit breach; recovery follows
single_spike_ignore_008,single_spike_ignore,LOT-2026-0048,W23,EQP-11,PHOTO,rf_power_w,100.093,0.841,16,one isolated control-limit breach; recovery follows
single_spike_ignore_009,single_spike_ignore,LOT-2026-0049,W08,EQP-11,METROLOGY,rf_power_w,100.194,0.911,12,one isolated control-limit breach; recovery follows
single_spike_ignore_010,single_spike_ignore,LOT-2026-0050,W25,EQP-10,CMP,critical_dimension_nm,101.131,1.004,16,one isolated control-limit breach; recovery follows
single_spike_ignore_011,single_spike_ignore,LOT-2026-0051,W08,EQP-07,METROLOGY,particle_count,99.819,1.262,12,one isolated control-limit breach; recovery follows
single_spike_ignore_012,single_spike_ignore,LOT-2026-0052,W08,EQP-04,ION_IMPLANT,particle_count,101.151,0.852,15,one isolated control-limit breach; recovery follows
single_spike_ignore_013,single_spike_ignore,LOT-2026-0053,W18,EQP-12,PHOTO,rf_power_w,99.519,0.939,12,one isolated control-limit breach; recovery follows
single_spike_ignore_014,single_spike_ignore,LOT-2026-0054,W15,EQP-10,DIFFUSION,film_thickness_nm,99.133,0.823,16,one isolated control-limit breach; recovery follows
single_spike_ignore_015,single_spike_ignore,LOT-2026-0055,W17,EQP-07,ETCH,film_thickness_nm,99.958,1.341,13,one isolated control-limit breach; recovery follows
single_spike_ignore_016,single_spike_ignore,LOT-2026-0056,W10,EQP-08,DIFFUSION,overlay_error_nm,99.950,1.326,17,one isolated control-limit breach; recovery follows
single_spike_ignore_017,single_spike_ignore,LOT-2026-0057,W23,EQP-05,PVD,chamber_pressure_mTorr,100.951,1.287,12,one isolated control-limit breach; recovery follows
single_spike_ignore_018,single_spike_ignore,LOT-2026-0058,W21,EQP-04,DIFFUSION,rf_power_w,100.560,1.069,15,one isolated control-limit breach; recovery follows
single_spike_ignore_019,single_spike_ignore,LOT-2026-0059,W21,EQP-02,PVD,temperature_c,100.360,0.797,17,one isolated control-limit breach; recovery follows
